NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
1,2017,3,86,25,-8824538.503037732,5432558.049489809,0.8225469728601252,0.8705636743215032,0.8302018093249824
1,2017,4,49,16,-8824291.879598368,5432417.922456891,0.8997912317327766,0.8225469728601252,0.8253305497564369
1,2017,5,87,25,-8824570.030155772,5432732.962509278,0.8204592901878914,0.8997912317327766,0.8643006263048015
1,2017,6,87,26,-8823467.506917713,5432901.655923786,0.8204592901878914,0.8204592901878914,0.8475991649269311
1,2017,7,63,20,-8824229.203752823,5432743.157115204,0.8705636743215032,0.8204592901878914,0.8469032707028532
1,2017,8,158,48,-8824157.912463304,5432586.549342061,0.6722338204592901,0.8705636743215032,0.837160751565762
1,2017,9,75,23,-8824562.06155543,5432555.449705429,0.8455114822546973,0.6722338204592901,0.7877522616562281
1,2017,10,61,16,-8823322.516868329,5433002.075668764,0.8747390396659708,0.8455114822546973,0.7961029923451636
1,2017,11,75,20,-8823396.688261636,5432789.693132419,0.8455114822546973,0.8747390396659708,0.7974947807933194
1,2017,12,65,19,-8824257.468515912,5432986.805345256,0.8663883089770354,0.8455114822546973,0.8552540013917884
1,2018,1,122,39,-8824201.037078869,5432779.240349445,0.7473903966597077,0.8663883089770354,0.8622129436325677
1,2018,2,64,18,-8824434.74642369,5433319.997285581,0.8684759916492693,0.7473903966597077,0.8197633959638134
1,2018,3,62,17,-8823064.626348916,5432763.992292315,0.872651356993737,0.8684759916492693,0.8274182324286707
1,2018,4,82,24,-8824346.147010598,5431992.07442343,0.8308977035490606,0.872651356993737,0.8295059151009047
1,2018,5,70,21,-8824456.359708015,5432541.771113775,0.8559498956158664,0.8308977035490606,0.8573416840640222
1,2018,6,54,17,-8824219.75048955,5431957.935866787,0.8893528183716075,0.8559498956158664,0.8531663187195546
1,2018,7,50,13,-8823974.437643798,5432484.483444839,0.8977035490605428,0.8893528183716075,0.8587334725121781
1,2018,8,107,33,-8823698.999375442,5432629.1147951335,0.778705636743215,0.8977035490605428,0.8810020876826723
